Electricity generated (kWh) from onsite renewable sources (wind or solar),Energy consumption (kWh) from biomass combustion (wood),Total electricity emissions,Total fossil fuel emissions,BUILDING AND STREET LIGHTING TOTAL,Fleet vehicles,Business Travel,Other,TRANSPORT TOTAL,CO2 EMISSIONS TOTAL,Total electricity emissions,Total fossil fuel emissions,Total biomass emissions,BUILDING AND STREET LIGHTING TOTAL,Fleet vehicles,Business Travel,Other,TRANSPORT TOTAL,NOX EMISSIONS TOTAL,Total electricity emissions,Total fossil fuel emissions,Total biomass emissions,BUILDING AND STREET LIGHTING TOTAL,Fleet vehicles,Business Travel,Other,TRANSPORT TOTAL,PM10 EMISSIONS TOTAL
0.0 ,0.0 ,787.6 ,785.3 ,"1,572.9 ",578.6 ,69.4 ,0.0 ,648.1 ,"2,221.0 ",1.7 ,0.7 ,0.0 ,2.4 ,3.1 ,0.0 ,0.0 ,3.1 ,5.5 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 
*0.0,*0.0,*1848.2,*1329.3,*3177.6,*916.4,*184.2,*0.0,*1100.6,*4278.2,*4,*1.2,*0.0,*5.2,*5,*0.3,*0.0,*5.3,*10.5,*0.1,*0,*0.0,*0.1,*0.2,*0,*0.0,*0.2,*0.3
*0.0,*0.0,*591.8,*471.9,*1063.7,*334.8,*40.9,*0.0,*375.6,*1439.4,*1.3,*0.4,*0.0,*1.7,*2.1,*0.1,*0.0,*2.2,*3.9,*0,*0,*0.0,*0,*0.1,*0,*0.0,*0.1,*0.1
0.0 ,"1,610,389.0 ","55,576.3 ","38,987.2 ","94,563.5 ","12,767.9 ","4,329.8 ",302.5 ,"17,400.2 ","111,963.7 ",120.4 ,38.2 ,0.9 ,159.4 ,28.8 ,1.8 ,0.0 ,30.5 ,190.0 ,3.5 ,3.1 ,0.2 ,6.8 ,0.9 ,0.1 ,0.0 ,0.9 ,7.8 
0.0 ,0.0 ,"40,518.8 ","32,984.3 ","73,503.0 ","3,700.5 ","3,666.6 ",0.0 ,"7,367.1 ","80,870.2 ",87.7 ,27.1 ,0.0 ,114.8 ,7.6 ,2.8 ,0.0 ,10.4 ,125.2 ,2.5 ,1.0 ,0.0 ,3.5 ,0.2 ,0.1 ,0.0 ,0.3 ,3.9 
0.0 ,"77,814.0 ","1,652.3 ","1,586.1 ","3,238.5 ",466.0 ,38.1 ,0.0 ,504.1 ,"3,742.6 ",3.6 ,1.3 ,0.0 ,4.9 ,2.4 ,0.1 ,0.0 ,2.4 ,7.3 ,0.1 ,0.1 ,0.0 ,0.2 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 
0.0 ,0.0 ,"2,445.1 ","1,355.1 ","3,800.2 ","1,927.1 ",485.4 ,0.0 ,"2,412.5 ","6,212.7 ",5.3 ,1.2 ,0.0 ,6.5 ,9.6 ,0.2 ,0.0 ,9.8 ,16.3 ,0.2 ,0.0 ,0.0 ,0.2 ,0.3 ,0.0 ,0.0 ,0.3 ,0.5 
*0.0,*0.0,*3124,*1312.9,*4436.8,*1123.1,*63.7,*0.0,*1186.8,*5623.7,*6.8,*1.2,*0.0,*7.9,*9.5,*0.1,*0.0,*9.6,*17.6,*0.2,*0,*0.0,*0.2,*0.3,*0,*0.0,*0.3,*0.5
*0.0,*0.0,*1302,*1123.2,*2425.2,*542.8,*325.7,*0.0,*868.5,*3293.6,*2.8,*1,*0.0,*3.8,*3.3,*0.4,*0.0,*3.7,*7.5,*0.1,*0,*0.0,*0.1,*0.1,*0,*0.0,*0.1,*0.2
*0.0,*51700,*1813,*669,*2482,*554.6,*156.2,*0.0,*710.9,*3192.9,*3.9,*0.6,*0,*4.6,*2.6,*0.1,*0.0,*2.7,*7.2,*0.1,*0,*0,*0.1,*0.1,*0,*0.0,*0.1,*0.3
0.0 ,0.0 ,"3,747.3 ","2,604.7 ","6,352.0 ","1,860.0 ",213.2 ,0.0 ,"2,073.2 ","8,425.2 ",8.1 ,2.1 ,0.0 ,10.2 ,8.1 ,0.2 ,0.0 ,8.3 ,18.5 ,0.2 ,0.1 ,0.0 ,0.3 ,0.3 ,0.0 ,0.0 ,0.3 ,0.6 
0.0 ,0.0 ,885.1 ,445.4 ,"1,330.5 ",530.2 ,105.8 ,0.0 ,636.0 ,"1,966.4 ",1.9 ,0.4 ,0.0 ,2.3 ,2.2 ,0.1 ,0.0 ,2.3 ,4.6 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 
0.0 ,"129,514.0 ","55,487.6 ","42,080.6 ","97,568.3 ","10,704.4 ","5,054.7 ",0.0 ,"15,759.1 ","113,327.4 ",120.1 ,34.8 ,0.1 ,155.0 ,45.2 ,4.0 ,0.0 ,49.1 ,204.1 ,3.5 ,1.2 ,0.0 ,4.7 ,1.4 ,0.1 ,0.0 ,1.5 ,6.2 
*0.0,*0.0,*35659.7,*23445.8,*59105.5,*1081.9,*2394.8,*0.0,*3476.7,*62582.2,*77.2,*20.9,*0.0,*98.1,*N/A,*N/A,*N/A,*N/A,*N/A,*2.2,*0.4,*0.0,*2.6,*N/A,*N/A,*N/A,*N/A,*N/A
*0.0,*0.0,*2140.2,*4392.3,*6532.5,*683.8,*68.4,*0.0,*752.3,*7284.7,*4.6,*5.6,*0.0,*10.2,*N/A,*N/A,*N/A,*N/A,*N/A,*0.1,*0.1,*0.0,*0.2,*N/A,*N/A,*N/A,*N/A,*N/A
*0.0,*0.0,*1049.3,*651.6,*1701,*983.6,*135.5,*0.0,*1119.1,*2820,*2.3,*0.8,*0.0,*3.1,*4.6,*0.3,*0.0,*4.9,*8,*0.1,*0,*0.0,*0.1,*0.1,*0,*0.0,*0.1,*0.2
0.0 ,0.0 ,414.8 ,155.2 ,570.0 ,35.7 ,0.1 ,0.0 ,35.8 ,605.8 ,0.9 ,0.2 ,0.0 ,1.1 ,N/A,N/A,N/A,N/A,N/A,0.0 ,0.0 ,0.0 ,0.0 ,N/A,N/A,N/A,N/A,N/A
0.0 ,0.0 ,852.1 ,536.4 ,"1,388.5 ",760.7 ,53.3 ,0.0 ,813.9 ,"2,202.4 ",1.8 ,0.7 ,0.0 ,2.5 ,3.9 ,0.0 ,0.0 ,4.0 ,6.5 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 
0.0 ,0.0 ,"6,736.9 ","2,870.4 ","9,607.3 ","1,583.8 ",176.8 ,0.0 ,"1,760.5 ","11,367.8 ",14.6 ,3.6 ,0.0 ,18.2 ,N/A,N/A,N/A,N/A,N/A,0.4 ,0.1 ,0.0 ,0.5 ,N/A,N/A,N/A,N/A,N/A
*0.0,*0.0,*1380.3,*501.7,*1882,*1587.7,*78.6,*0.0,*1666.3,*3548.3,*3,*0.6,*0.0,*3.6,*8.9,*0.1,*0.0,*8.9,*12.6,*0.1,*0,*0.0,*0.1,*0.2,*0,*0.0,*0.2,*0.3
0.0 ,0.0 ,"1,022.2 ",776.1 ,"1,798.2 ",580.9 ,56.3 ,0.0 ,637.2 ,"2,435.5 ",2.2 ,1.0 ,0.0 ,3.2 ,N/A,N/A,N/A,N/A,N/A,0.1 ,0.0 ,0.0 ,0.1 ,N/A,N/A,N/A,N/A,N/A
0.0 ,0.0 ,"49,255.5 ","33,329.5 ","82,585.0 ","7,298.0 ","2,963.8 ",0.0 ,"10,261.8 ","92,846.8 ",106.6 ,33.4 ,0.0 ,140.0 ,17.4 ,0.4 ,0.0 ,17.8 ,157.9 ,3.1 ,0.6 ,0.0 ,3.7 ,0.4 ,0.0 ,0.0 ,0.4 ,4.1 
0.0 ,0.0 ,"34,177.7 ","21,148.3 ","55,326.0 ","6,071.8 ",993.7 ,0.0 ,"7,065.4 ","62,391.4 ",74.0 ,18.9 ,0.0 ,92.9 ,27.2 ,1.0 ,0.0 ,28.3 ,121.1 ,2.1 ,0.4 ,0.0 ,2.5 ,0.8 ,0.0 ,0.0 ,0.9 ,3.4 
0.0 ,"11,259,788.9 ","66,437.7 ","40,428.3 ","106,866.0 ","5,575.1 ","3,523.8 ",0.0 ,"9,098.9 ","115,964.9 ",143.8 ,52.1 ,6.1 ,202.0 ,31.1 ,2.6 ,0.0 ,33.7 ,235.7 ,4.2 ,6.7 ,1.5 ,12.3 ,1.7 ,0.1 ,0.0 ,1.8 ,14.1 
0.0 ,0.0 ,"2,555.7 ","1,125.1 ","3,680.8 ","2,265.2 ",130.0 ,0.0 ,"2,395.2 ","6,076.0 ",5.5 ,1.0 ,0.0 ,6.5 ,12.0 ,0.1 ,0.0 ,12.1 ,18.6 ,0.2 ,0.0 ,0.0 ,0.2 ,0.3 ,0.0 ,0.0 ,0.3 ,0.5 
0.0 ,0.0 ,721.6 ,645.7 ,"1,367.2 ",868.2 ,80.1 ,0.0 ,948.3 ,"2,315.6 ",1.6 ,0.6 ,0.0 ,2.1 ,4.6 ,0.1 ,0.0 ,4.8 ,6.9 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 
*0.0,*0.0,*1257.5,*1176.2,*2433.7,*1129.5,*118.3,*0.0,*1247.8,*3681.4,*2.7,*2.2,*0.0,*4.9,*3.8,*0.2,*0.0,*4,*8.9,*0.1,*0.2,*0.0,*0.3,*0.3,*0,*0.0,*0.3,*0.6
0.0 ,0.0 ,"1,512.4 ","2,649.7 ","4,162.1 ",571.0 ,70.8 ,0.0 ,641.8 ,"4,803.9 ",3.3 ,2.1 ,0.0 ,5.4 ,3.0 ,0.1 ,0.0 ,3.1 ,8.5 ,0.1 ,0.1 ,0.0 ,0.2 ,0.1 ,0.0 ,0.0 ,0.1 ,0.3 
0.0 ,"114,506.0 ","3,599.7 ","2,947.5 ","6,547.2 ","1,441.8 ",114.1 ,4.6 ,"1,560.5 ","8,107.7 ",7.8 ,4.3 ,0.1 ,12.1 ,5.6 ,0.0 ,0.0 ,5.6 ,17.7 ,0.2 ,1.5 ,0.0 ,1.8 ,0.2 ,0.0 ,0.0 ,0.2 ,2.0 
0.0 ,0.0 ,"2,405.9 ","2,160.0 ","4,565.9 ","1,244.2 ",176.8 ,0.0 ,"1,421.0 ","5,986.9 ",5.2 ,2.7 ,0.0 ,7.9 ,N/A,N/A,N/A,N/A,N/A,0.2 ,0.0 ,0.0 ,0.2 ,N/A,N/A,N/A,N/A,N/A
0.0 ,"737,148.8 ","1,915.6 ","1,834.5 ","3,750.1 ",913.2 ,77.2 ,0.0 ,990.4 ,"4,740.5 ",4.1 ,1.4 ,0.4 ,6.0 ,5.2 ,0.0 ,0.0 ,5.2 ,11.2 ,0.1 ,0.0 ,0.1 ,0.2 ,0.1 ,0.0 ,0.0 ,0.1 ,0.4 
0.0 ,"12,111,443.7 ","80,406.0 ","52,967.0 ","133,373.0 ","14,008.2 ","4,291.1 ",4.6 ,"18,304.0 ","151,677.0 ",174.1 ,66.4 ,6.5 ,247.0 ,65.4 ,3.1 ,0.0 ,68.5 ,315.6 ,5.1 ,8.6 ,1.6 ,15.2 ,2.9 ,0.1 ,0.0 ,3.0 ,18.2 
*34.8,*0.0,*2220.3,*1692.2,*3912.4,*466.6,*191.9,*0.0,*658.5,*4571,*4.8,*1.4,*0.0,*6.2,*1.5,*0.2,*0.0,*1.7,*7.9,*0.1,*0,*0.0,*0.2,*0,*0,*0.0,*0,*0.2
"5,445.8 ","17,695,098.4 ","397,958.4 ","266,953.8 ","664,912.2 ","62,360.9 ","26,492.6 ","6,136.3 ","94,989.9 ","759,902.1 ",861.5 ,288.5 ,9.6 ,"1,159.6 ",227.7 ,24.6 ,33.7 ,286.0 ,"1,445.6 ",25.0 ,16.9 ,2.4 ,44.3 ,8.1 ,0.9 ,1.5 ,10.5 ,54.7 
see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below 
0.0 ,0.0 ,"34,723.0 ","20,583.3 ","55,306.2 ","2,953.7 ","7,583.1 ",147.4 ,"10,684.2 ","65,990.4 ",75.2 ,18.1 ,0.0 ,93.3 ,10.3 ,8.7 ,0.3 ,19.2 ,112.5 ,2.2 ,0.4 ,0.0 ,2.6 ,0.3 ,0.2 ,0.0 ,0.5 ,3.1 
*0.0,*0.0,*3683.5,*2139.7,*5823.2,*1354.3,*91.4,*0.0,*1445.7,*7268.9,*8,*1.7,*0.0,*9.7,*5.7,*0,*0.0,*5.7,*15.4,*0.2,*0,*0.0,*0.3,*0.3,*0,*0.0,*0.3,*0.5
0.0 ,0.0 ,306.2 ,3.8 ,310.0 ,0.0 ,263.6 ,0.0 ,263.6 ,573.6 ,0.7 ,0.0 ,0.0 ,0.7 ,0.0 ,1.2 ,0.0 ,1.2 ,1.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
0.0 ,0.0 ,"1,817.8 ","1,167.0 ","2,984.7 ",933.6 ,208.5 ,0.0 ,"1,142.1 ","4,126.9 ",3.9 ,1.0 ,0.0 ,5.0 ,N/A,N/A,N/A,N/A,N/A,0.1 ,0.0 ,0.0 ,0.1 ,N/A,N/A,N/A,N/A,N/A
0.0 ,0.0 ,"3,391.0 ","1,317.6 ","4,708.6 ","1,865.9 ",171.1 ,0.0 ,"2,037.1 ","6,745.6 ",7.3 ,1.2 ,0.0 ,8.5 ,N/A,N/A,N/A,N/A,N/A,0.2 ,0.0 ,0.0 ,0.2 ,N/A,N/A,N/A,N/A,N/A
0.0 ,0.0 ,662.6 ,132.1 ,794.7 ,"1,164.5 ",204.0 ,0.0 ,"1,368.5 ","2,163.2 ",1.4 ,0.1 ,0.0 ,1.6 ,5.8 ,0.1 ,0.0 ,5.9 ,7.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.0 ,0.0 ,0.2 ,0.2 
0.0 ,0.0 ,"44,584.0 ","25,343.5 ","69,927.4 ","8,272.0 ","8,521.8 ",147.4 ,"16,941.2 ","86,868.6 ",96.5 ,22.2 ,0.0 ,118.7 ,21.8 ,10.0 ,0.3 ,32.0 ,150.7 ,2.8 ,0.5 ,0.0 ,3.3 ,0.7 ,0.2 ,0.0 ,1.0 ,4.3 
see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below ,see below 
0.0 ,0.0 ,"59,458.6 ","7,405.4 ","66,864.0 ",905.0 ,"5,808.9 ",0.0 ,"6,713.9 ","73,577.9 ",128.7 ,9.4 ,0.0 ,138.1 ,N/A,N/A,N/A,N/A,N/A,3.7 ,0.1 ,0.0 ,3.9 ,N/A,N/A,N/A,N/A,N/A
0.0 ,0.0 ,"3,208.4 ","1,748.0 ","4,956.5 ","1,814.5 ",109.2 ,0.0 ,"1,923.7 ","6,880.1 ",6.9 ,1.5 ,0.0 ,8.5 ,N/A,N/A,N/A,N/A,N/A,0.2 ,0.0 ,0.0 ,0.2 ,N/A,N/A,N/A,N/A,N/A
0.0 ,0.0 ,"1,510.4 ","1,702.2 ","3,212.6 ",243.2 ,53.8 ,0.0 ,297.1 ,"3,509.7 ",3.3 ,1.6 ,0.0 ,4.9 ,1.1 ,0.1 ,0.0 ,1.1 ,6.0 ,0.1 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 
*0.0,*0.0,*1121.3,*1381.7,*2503,*0.0,*958,*0.0,*958,*3461,*2.4,*1.8,*0.0,*4.2,*0.0,*4.2,*0.0,*4.2,*8.3,*0.1,*0,*0.0,*0.1,*0.0,*0.1,*0.0,*0.1,*0.2
0.0 ,0.0 ,"1,158.4 ",929.6 ,"2,088.0 ",673.5 ,52.5 ,0.0 ,726.0 ,"2,814.0 ",2.5 ,1.2 ,0.0 ,3.7 ,3.9 ,0.1 ,0.0 ,3.9 ,7.6 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 
0.0 ,0.0 ,"4,234.3 ","2,103.4 ","6,337.7 ","3,503.9 ",509.9 ,0.0 ,"4,013.8 ","10,351.5 ",9.3 ,2.7 ,0.0 ,11.9 ,N/A,N/A,N/A,N/A,N/A,0.3 ,0.0 ,0.0 ,0.3 ,N/A,N/A,N/A,N/A,N/A
0.0 ,0.0 ,"4,798.0 ","4,175.0 ","8,973.0 ",936.4 ,164.1 ,0.0 ,"1,100.5 ","10,073.5 ",10.4 ,3.8 ,0.0 ,14.1 ,N/A,N/A,N/A,N/A,N/A,0.3 ,0.1 ,0.0 ,0.4 ,N/A,N/A,N/A,N/A,N/A
0.0 ,0.0 ,"2,404.4 ","2,509.3 ","4,913.7 ",127.9 ,182.2 ,0.0 ,310.2 ,"5,223.9 ",5.2 ,2.3 ,0.0 ,7.5 ,0.2 ,0.4 ,0.0 ,0.5 ,8.0 ,0.2 ,0.0 ,0.0 ,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 
0.0 ,0.0 ,"1,627.7 ","1,548.0 ","3,175.8 ",462.9 ,144.8 ,0.0 ,607.7 ,"3,783.5 ",3.5 ,1.4 ,0.0 ,4.9 ,2.1 ,0.1 ,0.0 ,2.2 ,7.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 
*0.0,*0.0,*920.2,*494.7,*1414.9,*472,*60.4,*0.0,*532.4,*1947.3,*2,*0.4,*0.0,*2.4,*2.8,*0,*0.0,*2.9,*5.3,*0.1,*0,*0.0,*0.1,*0.1,*0,*0.0,*0.1,*0.2
0.0 ,0.0 ,"1,018.6 ",613.1 ,"1,631.6 ",1.8 ,567.3 ,0.0 ,569.1 ,"2,200.7 ",2.2 ,0.8 ,0.0 ,3.0 ,N/A,N/A,N/A,N/A,N/A,0.1 ,0.0 ,0.0 ,0.1 ,N/A,N/A,N/A,N/A,N/A
0.0 ,0.0 ,"2,881.9 ",912.9 ,"3,794.8 ",28.6 ,"2,373.1 ",0.0 ,"2,401.7 ","6,196.5 ",6.2 ,1.1 ,0.0 ,7.4 ,0.0 ,11.7 ,0.0 ,11.7 ,19.1 ,0.2 ,0.0 ,0.0 ,0.2 ,0.0 ,0.3 ,0.0 ,0.3 ,0.5 
0.0 ,0.0 ,753.0 ,"1,297.0 ","2,050.0 ","1,136.6 ",116.8 ,0.0 ,"1,253.4 ","3,303.4 ",1.6 ,1.1 ,0.0 ,2.8 ,5.9 ,0.1 ,0.0 ,6.0 ,8.8 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 
0.0 ,0.0 ,"85,095.2 ","26,820.4 ","111,915.6 ","10,306.4 ","11,101.0 ",0.0 ,"21,407.4 ","133,323.0 ",184.3 ,29.0 ,0.0 ,213.3 ,15.9 ,16.6 ,0.0 ,32.6 ,245.9 ,5.4 ,0.5 ,0.0 ,5.8 ,0.5 ,0.5 ,0.0 ,1.0 ,6.8 
*0.0,*0.0,*72471.6,*72085.5,*144557.2,*19484.5,*4530,*0.0,*24014.5,*168571.6,*156.9,*63.8,*0.0,*220.7,*97.3,*3.3,*0.0,*100.7,*321.3,*4.6,*1.1,*0.0,*5.7,*2.9,*0.1,*0.0,*3,*8.7
0.0 ,0.0 ,"1,810.9 ","1,233.5 ","3,044.4 ",995.7 ,48.5 ,0.0 ,"1,044.2 ","4,088.6 ",3.9 ,1.1 ,0.0 ,5.0 ,5.4 ,0.0 ,0.0 ,5.4 ,10.5 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 ,0.0 ,0.0 ,0.2 ,0.4 
0.0 ,0.0 ,"2,481.8 ","2,157.6 ","4,639.4 ","1,283.0 ",149.2 ,0.0 ,"1,432.2 ","6,071.6 ",5.4 ,1.9 ,0.0 ,7.3 ,6.0 ,0.2 ,0.0 ,6.2 ,13.5 ,0.2 ,0.0 ,0.0 ,0.2 ,0.2 ,0.0 ,0.0 ,0.2 ,0.4 
0.0 ,0.0 ,"1,632.7 ","1,313.1 ","2,945.8 ","1,374.5 ",198.6 ,0.0 ,"1,573.1 ","4,518.9 ",3.5 ,1.1 ,0.0 ,4.6 ,7.4 ,0.3 ,0.0 ,7.7 ,12.3 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 ,0.0 ,0.0 ,0.3 ,0.4 
0.0 ,0.0 ,"4,581.0 ","2,177.0 ","6,758.0 ",973.8 ,141.9 ,0.0 ,"1,115.8 ","7,873.7 ",9.9 ,2.0 ,0.0 ,11.9 ,5.4 ,0.2 ,0.0 ,5.5 ,17.4 ,0.3 ,0.0 ,0.0 ,0.3 ,0.1 ,0.0 ,0.0 ,0.1 ,0.5 
0.0 ,0.0 ,"2,839.7 ","2,005.5 ","4,845.2 ",147.7 ,729.7 ,0.0 ,877.4 ,"5,722.7 ",6.2 ,1.8 ,0.0 ,8.0 ,0.3 ,3.6 ,0.0 ,3.9 ,11.9 ,0.2 ,0.0 ,0.0 ,0.2 ,0.0 ,0.1 ,0.0 ,0.1 ,0.4 
